,IATACode,ICAOCode,Name,Countries
76,9H,,Changan Airlines,['CN']
77,9I,TKY,Alliance Air,"['IN', 'LK']"
78,9J,,Dana Airlines,['NG']
79,9K,KAP,Cape Air,"['KN', 'PR', 'US', 'VG', 'VI']"
80,9M,,Central Mountain Air,['CA']
81,9N,,Tropic Air,"['BZ', 'HN', 'MX', 'SV']"
82,9P,,Fly Jinnah,['PK']
83,9Q,PBA,Caicos Express Airways,"['DO', 'HT', 'JM', 'TC']"
84,9R,VAP,SATENA,"['CO', 'VE']"
85,9T,ABS,Thai Summer Airways,"['MO', 'TH', 'TW']"
86,9V,VPA,Avior Airlines,"['DO', 'VE']"
87,9X,,Southern Airways Express,"['MP', 'US']"
88,A2,CIU,Anima Wings Aviation S.A.,"['GR', 'RO']"
89,A3,AEE,Aegean Airlines,"['AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IE', 'IL', 'IT', 'JO', 'KW', 'LB', 'LU', 'LV', 'MA', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SA', 'SE', 'SI', 'SK', 'TN', 'TR']"
90,A4,SWD,Azimuth Airlines,"['AE', 'AM', 'AZ', 'GE', 'IL', 'KZ', 'RU', 'TR', 'UZ']"
91,A6,LPV,Air Travel,['CN']
92,A8,BGL,Aerolink Uganda,['UG']
93,A9,TGZ,Georgian Airways,"['AT', 'CY', 'DE', 'FR', 'GE', 'GR', 'IL', 'IT', 'LB', 'NL', 'RU']"
94,AA,AAL,American Airlines,"['AG', 'AI', 'AR', 'AU', 'AW', 'BB', 'BM', 'BQ', 'BR', 'BS', 'BZ', 'CA', 'CH', 'CL', 'CN', 'CO', 'CR', 'CU', 'CW', 'DE', 'DM', 'DO', 'EC', 'ES', 'FR', 'GB', 'GD', 'GP', 'GR', 'GT', 'GY', 'HN', 'HT', 'IE', 'IL', 'IN', 'IT', 'JM', 'JP', 'KN', 'KR', 'KY', 'LC', 'MQ', 'MX', 'NI', 'NL', 'NZ', 'PA', 'PE', 'PR', 'PT', 'QA', 'SV', 'SX', 'TC', 'TT', 'US', 'UY', 'VC', 'VG', 'VI']"
95,AAJ,,Alfa Airlines,"['SD', 'SS']"
96,AAT,,Africa Airlines,['CG']
97,AB,BER,Bonza Air,['AU']
98,AC,ACA,Air Canada,"['AE', 'AG', 'AR', 'AT', 'AU', 'AW', 'BB', 'BE', 'BM', 'BR', 'BS', 'BZ', 'CA', 'CH', 'CL', 'CN', 'CO', 'CR', 'CU', 'CW', 'DE', 'DK', 'DO', 'DZ', 'EG', 'ES', 'FR', 'GB', 'GD', 'GP', 'GR', 'HK', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JP', 'KN', 'KR', 'KY', 'LC', 'MA', 'MQ', 'MX', 'NL', 'NZ', 'PA', 'PR', 'PT', 'SG', 'SX', 'TC', 'TH', 'TT', 'US', 'VC']"
99,AD,AZU,Azul,"['BR', 'CW', 'FR', 'PT', 'US', 'UY']"
100,AE,MDA,Mandarin Airlines,"['CN', 'HK', 'TW', 'VN']"
101,AF,AFR,Air France,"['AE', 'AL', 'AM', 'AO', 'AR', 'AT', 'BE', 'BF', 'BJ', 'BR', 'CA', 'CD', 'CF', 'CG', 'CH', 'CI', 'CL', 'CM', 'CN', 'CO', 'CR', 'CU', 'CZ', 'DE', 'DJ', 'DK', 'DO', 'DZ', 'EG', 'ES', 'FI', 'FR', 'GA', 'GB', 'GE', 'GF', 'GH', 'GN', 'GP', 'GQ', 'GR', 'HK', 'HR', 'HU', 'IE', 'IL', 'IN', 'IT', 'JP', 'KE', 'KR', 'LB', 'MA', 'MG', 'ML', 'MQ', 'MR', 'MT', 'MU', 'MX', 'NE', 'NG', 'NL', 'NO', 'PA', 'PE', 'PF', 'PL', 'PT', 'RE', 'RO', 'RU', 'SE', 'SG', 'SI', 'SL', 'SN', 'SX', 'TD', 'TG', 'TH', 'TN', 'TR', 'TZ', 'US', 'VN', 'ZA']"
102,AH,DAH,Air Algerie,"['AE', 'AT', 'BE', 'BF', 'CA', 'CH', 'CI', 'CN', 'DE', 'DZ', 'EG', 'ES', 'FR', 'GB', 'IT', 'JO', 'ML', 'MR', 'NE', 'PT', 'QA', 'RU', 'SA', 'SN', 'TN', 'TR', 'ZA']"
103,AI,AIC,Air India,"['AE', 'AT', 'AU', 'BD', 'BH', 'CA', 'DE', 'DK', 'FR', 'GB', 'HK', 'IL', 'IN', 'IT', 'JP', 'KE', 'KR', 'KW', 'LK', 'MM', 'MV', 'NL', 'NP', 'OM', 'QA', 'SA', 'SG', 'TH', 'US']"
104,AK,ABR,AirAsia,"['BD', 'BN', 'CN', 'HK', 'ID', 'IN', 'KH', 'LA', 'LK', 'MM', 'MO', 'MV', 'MY', 'PH', 'SG', 'TH', 'TW', 'VN']"
105,AM,AMX,Aeromexico,"['AR', 'BR', 'CA', 'CL', 'CO', 'CR', 'CU', 'DO', 'EC', 'ES', 'FR', 'GB', 'GT', 'HN', 'IT', 'JP', 'KR', 'MX', 'NI', 'NL', 'PE', 'SV', 'US']"
106,AN,AAA,Advanced Air,['US']
107,AP,AIB,Alba Star,"['CV', 'EG', 'IT']"
108,AQ,MPJ,9 Air,"['CN', 'HK']"
109,AR,ARG,Aerolineas Argentinas,"['AR', 'BO', 'BR', 'CL', 'CO', 'CU', 'DO', 'ES', 'IT', 'MX', 'PE', 'PY', 'US', 'UY']"
110,AS,ASA,Alaska Airlines,"['BS', 'BZ', 'CA', 'CR', 'GT', 'MX', 'US']"
111,AT,RAM,Royal Air Maroc,"['AE', 'AO', 'BE', 'BF', 'BJ', 'CA', 'CD', 'CF', 'CG', 'CH', 'CI', 'CM', 'CV', 'DE', 'DZ', 'EG', 'ES', 'FR', 'GA', 'GB', 'GH', 'GM', 'GN', 'GQ', 'GW', 'IL', 'IT', 'LR', 'MA', 'ML', 'MR', 'NE', 'NG', 'NL', 'PT', 'QA', 'RU', 'SA', 'SL', 'SN', 'TG', 'TN', 'TR', 'US']"
112,AU,AUT,Jetlines,"['CA', 'MX', 'US']"
113,AV,AVA,SA AVIANCA,"['AR', 'AW', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'CW', 'DO', 'EC', 'ES', 'GB', 'GT', 'HN', 'MX', 'PA', 'PE', 'PR', 'PY', 'SV', 'US', 'UY']"
114,AW,DIR,Africa World Airlines,"['GH', 'NG']"
115,AY,FIN,Finnair,"['AE', 'AT', 'AX', 'BE', 'CH', 'CN', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HK', 'HR', 'HU', 'IE', 'IL', 'IN', 'IS', 'IT', 'JP', 'KR', 'LT', 'LV', 'NL', 'NO', 'PL', 'PT', 'QA', 'SE', 'SG', 'SI', 'TH', 'TR', 'US']"
116,AZ,AZA,ITA Airways,"['AL', 'AR', 'BE', 'BG', 'BR', 'CH', 'DE', 'DZ', 'EG', 'ES', 'FR', 'GB', 'GR', 'HR', 'IL', 'IN', 'IT', 'JP', 'MT', 'MV', 'NL', 'TN', 'US']"
117,B0,,La Compagnie,"['FR', 'IT', 'US']"
