,IATACode,ICAOCode,Name,Countries
202,F9,FFT,Frontier Airlines,"['BS', 'CR', 'DO', 'GT', 'JM', 'MX', 'PR', 'SV', 'SX', 'US', 'VI']"
203,FA,SFR,Safair,"['MU', 'TZ', 'ZA']"
204,FB,LZB,Bulgaria Air,"['BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'ES', 'FR', 'GB', 'GR', 'IL', 'IT', 'KW', 'NL']"
205,FC,WBA,Link Airways,['AU']
206,FD,AIQ,Thai AirAsia,"['BD', 'CN', 'HK', 'ID', 'IN', 'JP', 'KH', 'LA', 'LK', 'MM', 'MO', 'MV', 'MY', 'SG', 'TH', 'TW', 'VN']"
207,FFV,,Fly540,"['KE', 'TZ']"
208,FG,AFG,Ariana Afghan Airlines,"['AE', 'AF', 'IR', 'PK', 'RU', 'SA', 'TR']"
209,FH,FUA,Freebird Airlines,"['DE', 'GB', 'TR']"
210,FI,ICE,Icelandair,"['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'ES', 'FI', 'FO', 'FR', 'GB', 'GL', 'GR', 'IE', 'IL', 'IS', 'IT', 'NL', 'NO', 'SE', 'US']"
211,FJ,FJI,Fiji Airways,"['AU', 'CA', 'FJ', 'FR', 'HK', 'JP', 'KI', 'NZ', 'SB', 'SG', 'TO', 'TV', 'US', 'VU', 'WS']"
212,FLG,,Fly Big,['IN']
213,FM,CSH,Shanghai Airlines,"['CN', 'HK', 'HU', 'JP', 'KR', 'MO', 'MY', 'TH', 'TW']"
214,FN,RGL,Fastjet Zimbabwe,"['BW', 'ZA', 'ZW']"
215,FNA,,Norlandair,['IS']
216,FP,FRE,FlyPelican,['AU']
217,FQ,,Crown Airlines,"['LY', 'TR']"
218,FR,RYR,Ryanair,"['AL', 'AT', 'BA', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IL', 'IT', 'JO', 'LT', 'LU', 'LV', 'MA', 'ME', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'SK', 'TR']"
219,FT,SRH,FlyEgypt,"['AE', 'AM', 'EG', 'SA', 'UZ']"
220,FU,,Fuzhou Airlines,['CN']
221,FY,NWR,Firefly,"['ID', 'MY', 'SG', 'TH']"
222,FZ,FDB,flydubai,"['AE', 'AL', 'AM', 'AT', 'AZ', 'BA', 'BD', 'BG', 'BH', 'BY', 'CZ', 'DJ', 'EG', 'ER', 'ET', 'GE', 'GR', 'HR', 'HU', 'IL', 'IN', 'IQ', 'IR', 'IT', 'JO', 'KG', 'KW', 'KZ', 'LB', 'LK', 'ME', 'MV', 'NP', 'OM', 'PK', 'PL', 'QA', 'RO', 'RS', 'RU', 'SA', 'SD', 'SI', 'SO', 'SS', 'TH', 'TJ', 'TM', 'TR', 'TZ', 'UG', 'UZ']"
223,G3,GLO,Gol,"['AR', 'BO', 'BR', 'DO', 'PY', 'SR', 'US', 'UY']"
224,G4,AAY,Allegiant Air,['US']
225,G5,HXA,China Express Airlines,"['CN', 'LA', 'TH']"
226,G6,WLG,FLY ARNA,"['AM', 'GE', 'IQ', 'IR', 'KW', 'RU']"
227,G9,ABY,Air Arabia PJSC,"['AE', 'AM', 'AZ', 'BD', 'BH', 'EG', 'GE', 'IN', 'IQ', 'IR', 'IT', 'JO', 'KE', 'KG', 'KW', 'KZ', 'LB', 'LK', 'MY', 'NP', 'OM', 'PK', 'QA', 'RU', 'SA', 'SO', 'TH', 'TR', 'UG', 'UZ']"
228,GA,GIA,Garuda Indonesia,"['AU', 'CN', 'HK', 'ID', 'JP', 'KR', 'MY', 'NL', 'SA', 'SG', 'TH']"
229,GD,AHA,Aviair PTY LTD,['AU']
230,GE,TNA,LIFT,['ZA']
231,GF,GBA,Gulf Air,"['AE', 'AZ', 'BD', 'BH', 'CY', 'DE', 'EG', 'ES', 'FR', 'GB', 'GE', 'GR', 'IL', 'IN', 'IT', 'JO', 'KW', 'LK', 'MA', 'MV', 'OM', 'PH', 'PK', 'QA', 'RU', 'SA', 'SG', 'TH', 'TR']"
232,GJ,EEZ,Loong Air,"['CN', 'HK', 'JP', 'KG', 'KR', 'MY', 'PH', 'TH', 'UZ']"
233,GK,,Jetstar Japan,"['JP', 'PH', 'TW']"
234,GL,BSK,Air Greenland,"['DK', 'GL', 'IS', 'NO']"
235,GM,SVK,Chair Airlines,"['CH', 'CY', 'DE', 'EG', 'ES', 'GR', 'MK', 'RS']"
236,GP,PTP,APG Airlines,['FR']
237,GQ,BSY,Sky Express,"['BE', 'BG', 'CY', 'DE', 'FR', 'GB', 'GR', 'IT']"
238,GR,GCO,Aurigny Air Services,"['GB', 'GG', 'IE']"
239,GS,GUN,TianJin Airlines,"['AU', 'CN', 'GB', 'HK', 'JP', 'KR', 'RU']"
240,GT,GBL,Air Guilin,['CN']
241,GV,ARF,Grant Aviation,['US']
242,GW,KIL,Costa Rica Green Airways SRL,['CR']
243,GX,JXX,Guangxi Beibu Gulf Airlines,"['CN', 'TH']"
244,GY,TMG,Colorful GuiZhou Airlines,['CN']
245,GZ,RAR,Air Rarotonga,['CK']
246,H2,SKU,Sky Airline,"['AR', 'BR', 'CL', 'CO', 'DO', 'MX', 'PE']"
247,H8,KHB,Sky Airlines Peru,"['PE', 'US']"
248,H9,IZM,Himalaya Airlines,"['AE', 'BD', 'CN', 'KW', 'MY', 'NP', 'QA', 'SA']"
249,HA,HAL,Hawaiian Airlines,"['AS', 'AU', 'CK', 'JP', 'KR', 'NZ', 'PF', 'US']"
250,HB,HAR,Greater Bay Airlines Company Limite,"['HK', 'JP', 'KR', 'TH', 'TW', 'VN']"
251,HBR,,Hebridean Air Services,['GB']
252,HC,HCC,Air Senegal,"['BJ', 'CI', 'CM', 'CV', 'ES', 'FR', 'GA', 'GM', 'GN', 'GW', 'IT', 'MA', 'ML', 'MR', 'SL', 'SN', 'US']"
253,HE,LGW,BAR AVIATION LIMITED,['UG']
254,HF,HLF,Air Cote D'Ivoire,"['BF', 'BJ', 'CD', 'CG', 'CI', 'CM', 'GA', 'GH', 'GN', 'GW', 'LR', 'MA', 'ML', 'NE', 'NG', 'SN', 'TG', 'ZA']"
255,HH,,Qanot Sharq,"['CY', 'HU', 'IL', 'RU', 'SA', 'TH', 'TR', 'UZ', 'VN']"
256,HI,,Papillon Airways,['US']
257,HK,FSC,Skippers Aviation,['AU']
258,HM,SEY,Air Seychelles,"['IL', 'IN', 'LK', 'MU', 'MV', 'SC', 'ZA']"
259,HN,HVY,Equair,['EC']
260,HO,DJA,Juneyao Airlines,"['CN', 'FI', 'HK', 'IT', 'JP', 'KR', 'MO', 'SG', 'TH', 'TW']"
261,HP,HPA,Amapola,"['AX', 'FI', 'SE']"
262,HU,CHH,Hainan Airlines,"['AU', 'BE', 'CA', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'IE', 'IL', 'IT', 'JP', 'KH', 'MO', 'NZ', 'RS', 'RU', 'SE', 'SG', 'TH', 'TW']"
263,HV,TRA,Transavia,"['AE', 'AT', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DK', 'EG', 'ES', 'FR', 'GB', 'GR', 'HR', 'IL', 'IS', 'IT', 'JO', 'LB', 'LV', 'MA', 'NL', 'NO', 'PT', 'SI']"
264,HW,NWL,North-Wright Airways,['CA']
265,HX,CRK,Hong Kong Airlines,"['CN', 'HK', 'ID', 'JP', 'KR', 'TH', 'TW']"
266,HY,UZB,Uzbekistan Airways,"['AE', 'AZ', 'BY', 'CN', 'DE', 'EG', 'FR', 'GB', 'GE', 'ID', 'IL', 'IN', 'IT', 'JP', 'KG', 'KR', 'KZ', 'LV', 'MY', 'RU', 'SA', 'TH', 'TJ', 'TR', 'US', 'UZ']"
267,HZ,SOZ,Aurora Airlines,"['CN', 'RU']"
268,I2,IBS,Iberia Express,"['DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'IE', 'IL', 'IS', 'IT', 'NL']"
269,I4,FWA,Island Air Express,['US']
270,I5,,AirAsia (India),['IN']
271,I6,SEQ,IRYO,['ES']
272,I7,PMW,IndiaOne Air,['IN']
273,I8,,Izhavia,['RU']
274,IA,IAW,I A W,"['AE', 'AZ', 'EG', 'GE', 'IN', 'IQ', 'IR', 'JO', 'KW', 'LB', 'OM', 'PK', 'QA', 'RU', 'SA', 'TR']"
275,IB,IBE,Iberia,"['AR', 'AT', 'BE', 'BR', 'CH', 'CL', 'CO', 'CR', 'CU', 'CZ', 'DE', 'DO', 'DZ', 'EC', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HR', 'HU', 'IT', 'MA', 'MX', 'NO', 'PA', 'PE', 'PR', 'PT', 'QA', 'SE', 'SN', 'SV', 'US', 'UY', 'VE']"
276,ID,ITK,Batik Air,"['AU', 'ID', 'IN', 'MY', 'SG', 'TH']"
277,IE,SOL,Solomon Airlines,"['AU', 'FJ', 'SB', 'VU']"
278,IF,ISW,FBA,"['AE', 'EG', 'IN', 'IQ', 'IR', 'LB', 'PK', 'RU', 'SA', 'SY', 'TN', 'TR']"
279,IJ,GWL,Spring Airlines Japan,"['CN', 'JP']"
280,IK,LKN,Air Kiribati,['KI']
281,IL,,Trigana Air,['ID']
282,IN,MAK,Nam Air,['ID']
283,IO,IAA,IrAero,"['AZ', 'CN', 'MN', 'RU', 'VN']"
284,IOS,,Isles Of Scilly Skybus,['GB']
285,IP,JOL,PT Pelita Air Service,['ID']
286,IQ,AUB,Qazaq Air,"['AZ', 'KZ', 'RU']"
287,IR,IRA,Iran Air,"['AE', 'AT', 'AZ', 'DE', 'FR', 'GB', 'IN', 'IQ', 'IR', 'IT', 'KW', 'LB', 'PK', 'QA', 'TR']"
288,IS,,Sepehran Airlines,"['IQ', 'IR', 'KW']"
289,IT,KFR,Tigerair Taiwan,"['JP', 'KR', 'MO', 'PH', 'TH', 'TW', 'VN']"
290,ITI,,iNTAIRLINE,['FR']
291,IU,,PT. Super Air Jet,['ID']
292,IW,AOM,Wings Air,"['ID', 'MY']"
293,IX,AXB,AIR INDIA EXPRESS,"['AE', 'BH', 'IN', 'KW', 'OM', 'QA', 'SA', 'SG']"
294,IY,IYE,Yemen Airways,"['DJ', 'EG', 'ET', 'IN', 'JO', 'SA', 'SD', 'YE']"
295,IZ,AIZ,Arkia - Israeli Airlines,"['AE', 'CY', 'DE', 'ES', 'FR', 'GE', 'GR', 'IL', 'MA', 'NL', 'RO', 'RS', 'SK']"
296,J2,AHY,Azerbaijan Hava Yollary,"['AE', 'AT', 'AZ', 'CD', 'CZ', 'DE', 'EG', 'ES', 'FR', 'GB', 'GE', 'IL', 'IR', 'IT', 'KZ', 'RU', 'SA', 'TJ', 'TR']"
297,J3,PLR,Northwestern Air,['CA']
298,J4,BFL,Badr Airlines,"['EG', 'SA', 'SD', 'SS']"
299,J5,,Alaska Seaplane,['US']
300,J7,VJA,Afrijet,"['BJ', 'CG', 'CM', 'GA', 'GQ', 'ST']"
301,J9,JZR,Jazeera Airways,"['AE', 'AL', 'AZ', 'BA', 'BD', 'BH', 'CY', 'CZ', 'EG', 'GE', 'IN', 'IQ', 'IR', 'JO', 'KG', 'KW', 'KZ', 'LB', 'LK', 'ME', 'NP', 'OM', 'PK', 'QA', 'RS', 'RU', 'SA', 'TJ', 'TR', 'UZ']"
302,JA,BON,JetSMART,"['AR', 'BR', 'CL', 'CO', 'PE', 'UY']"
303,JBA,,Helijet International,['CA']
304,JD,,Beijing Capital Airlines,"['AU', 'CN', 'ES', 'GB', 'JP', 'MV', 'PT', 'RU', 'TH']"
305,JH,NES,Fuji Dream Airlines,['JP']
306,JL,JAL,JAL,"['AU', 'CA', 'CN', 'DE', 'FI', 'FR', 'GB', 'GU', 'HK', 'ID', 'IN', 'JP', 'KR', 'MY', 'PH', 'RU', 'SG', 'TH', 'TW', 'US', 'VN']"
307,JM,AJM,Jambojet Limited,"['CD', 'KE']"
308,JQ,JST,Jetstar Airways,"['AU', 'CK', 'FJ', 'ID', 'JP', 'KR', 'NZ', 'SG', 'TH', 'US', 'VN']"
309,JR,SER,Joy Air,['CN']
310,JT,LNI,Lion Airlines,"['ID', 'MY']"
311,JU,JAT,Air Serbia,"['AL', 'AT', 'BA', 'BE', 'BG', 'CH', 'CN', 'CY', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FR', 'GB', 'GR', 'HR', 'HU', 'IL', 'IT', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'RU', 'SE', 'SI', 'TR', 'US']"
312,JV,BLS,Bearskin Airlines,['CA']
313,JX,JEC,Starlux Airlines,"['JP', 'MO', 'MY', 'PH', 'SG', 'TH', 'TW', 'US', 'VN']"
314,JY,TCI,InterCaribbean Airways,"['AG', 'BB', 'BS', 'CU', 'DM', 'DO', 'GD', 'GY', 'HT', 'JM', 'KN', 'LC', 'PR', 'TC', 'VC', 'VG']"
315,K3,,Taquan Air,['US']
316,K6,KHV,Cambodia Angkor Air,"['CN', 'IN', 'KH', 'LA', 'MO', 'SG', 'VN']"
317,K7,,Air KBZ Company Limited,['MM']
318,KA,HDA,Aero Nomad Airlines LLC,"['IN', 'KG', 'PK', 'RU']"
319,KB,DRK,(Royal Bhutan Airlines),"['BD', 'BT', 'IN', 'NP', 'SG', 'TH', 'TL']"
320,KC,KZR,Air Astana,"['AE', 'AZ', 'CN', 'DE', 'EG', 'GB', 'GE', 'GR', 'IL', 'IN', 'KG', 'KR', 'KZ', 'ME', 'MV', 'NL', 'SA', 'TH', 'TJ', 'TR', 'UZ']"
321,KE,KAL,Korean Air Lines,"['AE', 'AT', 'AU', 'CA', 'CH', 'CN', 'CZ', 'DE', 'ES', 'FR', 'GB', 'GU', 'HK', 'HU', 'ID', 'IL', 'IN', 'IT', 'JP', 'KH', 'KR', 'MM', 'MN', 'MY', 'NL', 'NP', 'NZ', 'PH', 'RU', 'SG', 'TH', 'TR', 'TW', 'US', 'UZ', 'VN']"
322,KF,BLF,Air Belgium,"['BE', 'MU', 'ZA']"
323,KG,BNX,Denver Air Connection,['US']
324,KI,DHI,SKS Airways Sdn Bhd,['MY']
325,KK,KKK,LEAV Aviation GmbH,"['DE', 'ES', 'GR']"
326,KL,KLM,KLM,"['AE', 'AR', 'AT', 'AW', 'BE', 'BH', 'BQ', 'BR', 'CA', 'CH', 'CL', 'CN', 'CO', 'CR', 'CW', 'CZ', 'DE', 'DK', 'EC', 'ES', 'FI', 'FR', 'GB', 'GH', 'GR', 'HK', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'KE', 'KR', 'KW', 'LU', 'MX', 'MY', 'NG', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'RO', 'RS', 'RU', 'RW', 'SA', 'SE', 'SG', 'SR', 'SX', 'TH', 'TR', 'TT', 'TW', 'TZ', 'UG', 'US', 'ZA']"
327,KM,AMC,Air Malta,"['AT', 'BE', 'CH', 'CZ', 'DE', 'ES', 'FR', 'GB', 'IL', 'IT', 'MT', 'NL', 'PT']"
328,KMA,,Komiaviatrans,['RU']
329,KN,CUA,China United Airlines,"['CN', 'JP']"
330,KP,KIA,ASKY,"['AO', 'BF', 'BJ', 'CD', 'CF', 'CG', 'CI', 'CM', 'CV', 'GA', 'GH', 'GM', 'GN', 'GQ', 'GW', 'KE', 'LR', 'ML', 'NE', 'NG', 'SL', 'SN', 'ST', 'TD', 'TG', 'ZA']"
331,KQ,KQA,Kenya Airways,"['AE', 'BI', 'CD', 'CF', 'CI', 'CM', 'CN', 'ET', 'FR', 'GB', 'GH', 'IN', 'KE', 'KM', 'LR', 'MG', 'MU', 'MW', 'MZ', 'NG', 'NL', 'RW', 'SC', 'SD', 'SL', 'SN', 'SS', 'TZ', 'UG', 'US', 'YT', 'ZA', 'ZM', 'ZW']"
332,KR,CWK,Cambodia Airways,"['CN', 'KH', 'SG', 'TH']"
333,KS,PEN,AIR CONNECT AVIATION GROUP S.A.,"['HU', 'IT', 'RO']"
334,KU,KAC,Kuwait Airways,"['AE', 'AT', 'AZ', 'BA', 'BD', 'BH', 'CH', 'CN', 'DE', 'EG', 'ES', 'FR', 'GB', 'GE', 'GR', 'IN', 'IQ', 'IR', 'IT', 'JO', 'KW', 'LB', 'MA', 'MY', 'NL', 'NP', 'OM', 'PH', 'PK', 'QA', 'SA', 'TH', 'TR', 'US']"
335,KV,MVD,KrasAvia,"['MN', 'RU']"
336,KW,WAN,Kenai Aviation,['US']
337,KX,CAY,Cayman Airways,"['CU', 'HN', 'JM', 'KY', 'PA', 'US']"
338,KY,EQL,Kunming Airlines,"['CN', 'TH']"
339,L5,LTR,RED AIR SRL,"['DO', 'US']"
340,L6,VNZ,Mauritania Airlines,"['BJ', 'CG', 'CI', 'ES', 'GA', 'GN', 'MA', 'ML', 'MR', 'SN', 'TN']"
341,L9,TLW,Lumiwings,"['BA', 'IT']"
342,LA,LAN,LATAM Airlines Group,"['AR', 'AU', 'AW', 'BO', 'BR', 'CL', 'CO', 'CR', 'CU', 'DE', 'DO', 'EC', 'ES', 'FK', 'FR', 'GB', 'IT', 'MX', 'NZ', 'PE', 'PT', 'PY', 'US', 'UY', 'VE', 'ZA']"
343,LC,VLO,La Costena,['NI']
344,LF,NDC,Contour Aviation,['US']
345,LG,LGL,Luxair,"['AE', 'AT', 'BE', 'BG', 'CH', 'CV', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LU', 'MA', 'ME', 'MT', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'SI', 'SN', 'TN', 'TR']"
346,LH,GEC,Lufthansa,"['AE', 'AL', 'AM', 'AO', 'AR', 'AT', 'AZ', 'BA', 'BE', 'BG', 'BH', 'BR', 'CA', 'CH', 'CN', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GQ', 'GR', 'HK', 'HR', 'HU', 'IE', 'IL', 'IN', 'IQ', 'IR', 'IS', 'IT', 'JE', 'JO', 'JP', 'KE', 'KR', 'KW', 'KZ', 'LB', 'LT', 'LU', 'LV', 'MA', 'ME', 'MK', 'MT', 'MX', 'NG', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SA', 'SE', 'SG', 'SI', 'TH', 'TN', 'TR', 'US', 'ZA']"
347,LI,LIA,LIAT,"['AG', 'BB', 'DM', 'GD', 'KN', 'LC', 'SX', 'VC', 'VG', 'VI']"
348,LID,,Alidaunia,['IT']
349,LJ,SLA,Jin Air,"['CN', 'GU', 'JP', 'KR', 'LA', 'MO', 'MY', 'PH', 'TH', 'TW', 'VN']"
350,LK,LXR,Lao Skyway,['LA']
351,LM,LVG,Loganair,"['DK', 'GB', 'IE', 'IM', 'NO']"
352,LN,LAA,Libyan Airlines,"['EG', 'JO', 'LY', 'NE', 'SA', 'TN', 'TR']"
353,LO,LOT,LOT Polish Airlines,"['AE', 'AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'CA', 'CH', 'CN', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IL', 'IN', 'IT', 'JP', 'KR', 'KZ', 'LB', 'LT', 'LU', 'LV', 'MD', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'RO', 'RS', 'SE', 'SI', 'SK', 'TR', 'US', 'UZ']"
354,LQ,LAQ,Lanmei Airlines,"['CN', 'KH', 'MY', 'TH']"
355,LS,EXS,Jet2,"['AT', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'HR', 'HU', 'IS', 'IT', 'JE', 'ME', 'MT', 'NO', 'PL', 'PT', 'TR']"
356,LT,LTU,LongJiang Airlines,['CN']
357,LTR,,Lufttransport,['NO']
358,LX,SWU,SWISS,"['AE', 'AL', 'AR', 'AT', 'BA', 'BE', 'BG', 'BR', 'CA', 'CH', 'CN', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'HK', 'HU', 'IE', 'IL', 'IN', 'IT', 'JP', 'LB', 'LT', 'LU', 'MA', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'SG', 'SI', 'TH', 'TN', 'TR', 'US', 'ZA']"
359,LY,ELY,EL AL,"['AE', 'AT', 'BG', 'CH', 'CY', 'CZ', 'DE', 'EG', 'ES', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IE', 'IL', 'IN', 'IT', 'JP', 'MA', 'ME', 'NL', 'PT', 'RO', 'RU', 'SI', 'TH', 'TR', 'US', 'ZA']"
360,LZ,,Air Link,['AU']
361,M0,,Aero Mongolia,"['CN', 'JP', 'KR', 'MN', 'RU', 'VN']"
362,M5,KEN,Kenmore Air,['US']
363,MD,MDG,Air Madagascar,"['FR', 'KM', 'MG', 'MU', 'RE', 'YT']"
364,ME,MEA,Middle East Airlines,"['AE', 'AM', 'BE', 'CH', 'CI', 'CY', 'DE', 'DK', 'EG', 'ES', 'FR', 'GB', 'GH', 'GR', 'IQ', 'IT', 'JO', 'KW', 'LB', 'NG', 'QA', 'SA', 'TR']"
365,MF,CXA,Xiamen Airlines,"['AU', 'CA', 'CD', 'CN', 'FR', 'HK', 'ID', 'JP', 'KE', 'KH', 'KR', 'MM', 'MO', 'MY', 'NL', 'PH', 'QA', 'SG', 'TH', 'TW', 'US', 'VN']"
366,MGH,,Mavi Gok Havacilik AS,"['KZ', 'TR']"
367,MH,MAS,Malaysia Airlines,"['AU', 'BD', 'CN', 'GB', 'HK', 'ID', 'IN', 'JP', 'KH', 'KR', 'LK', 'MM', 'MY', 'NP', 'NZ', 'PH', 'QA', 'SA', 'SG', 'TH', 'TW', 'VN']"
368,MJ,MLR,Myway Airlines,"['CN', 'GE', 'IL']"
369,MK,MAU,Air Mauritius,"['AU', 'CH', 'FR', 'GB', 'IN', 'MG', 'MU', 'MY', 'RE', 'ZA']"
370,MM,SAM,Peach Aviation,"['CN', 'HK', 'JP', 'KR', 'TH', 'TW']"
371,MNE,,Air Montenegro,"['CH', 'ME', 'RS', 'SI', 'TR']"
372,MO,CAV,Calm Air International,['CA']
373,MR,MRT,Hunnu Air,"['CN', 'KZ', 'MN', 'RU']"
374,MRJ,,Meraj Air,"['IQ', 'IR', 'RU', 'SY', 'TR']"
375,MS,MSR,EgyptAir,"['AE', 'AT', 'BD', 'BE', 'BH', 'CA', 'CD', 'CH', 'CM', 'CN', 'CY', 'DE', 'DK', 'DZ', 'EG', 'ER', 'ES', 'ET', 'FR', 'GB', 'GH', 'GR', 'HU', 'IE', 'IL', 'IN', 'IQ', 'IT', 'JO', 'JP', 'KE', 'KM', 'KW', 'LB', 'LY', 'MA', 'NG', 'NL', 'OM', 'QA', 'RU', 'RW', 'SA', 'SD', 'SS', 'TD', 'TN', 'TR', 'TZ', 'UG', 'US', 'ZA']"
376,MU,CES,China Eastern Airlines,"['AE', 'AU', 'BD', 'CA', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'ID', 'IT', 'JP', 'KH', 'KR', 'LA', 'LK', 'MM', 'MO', 'MV', 'MY', 'NL', 'NP', 'NZ', 'PH', 'RU', 'SG', 'TH', 'TW', 'US', 'VN']"
377,MX,MXA,Breeze Airways,['US']
378,MZ,MNA,Amakusa,['JP']
379,N0,,Norse Atlantic Airways,"['DE', 'FR', 'IT', 'NO', 'TH', 'US']"
380,N3,OMS,Vuela El Salvador S.A. de C.V.,"['GT', 'HN', 'MX', 'SV', 'US']"
381,N4,NWS,Nord Wind,"['CU', 'IR', 'KG', 'RU', 'TJ']"
382,N9,,Shree Airlines,['NP']
383,NB,SNB,Berniq Airways,"['AE', 'EG', 'LY', 'TN', 'TR']"
384,ND,,Nordica,['SE']
385,NE,ESK,Nesma Airlines,"['EG', 'SA']"
386,NF,AVN,Air Vanuatu,"['AU', 'FJ', 'NC', 'NZ', 'VU']"
387,NH,ANA,ANA,"['AT', 'AU', 'BE', 'CA', 'CN', 'DE', 'FR', 'GB', 'HK', 'ID', 'IN', 'JP', 'KR', 'MX', 'MY', 'PH', 'RU', 'SG', 'TH', 'TW', 'US', 'VN']"
388,NJ,,Ghadames Air Transport,"['LY', 'TN', 'TR']"
389,NK,NKS,Spirit Airlines,"['AW', 'CO', 'CR', 'DO', 'EC', 'GT', 'HN', 'HT', 'JM', 'MX', 'NI', 'PE', 'PR', 'SV', 'SX', 'US', 'VI']"
390,NM,NZM,Air Moana,['PF']
391,NO,NOS,Neos,"['AE', 'BG', 'BS', 'CA', 'CH', 'CN', 'CU', 'CV', 'CY', 'CZ', 'DE', 'DO', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GP', 'GR', 'HR', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'KE', 'KZ', 'LK', 'MA', 'MG', 'MU', 'MV', 'MX', 'OM', 'PT', 'SN', 'TH', 'TN', 'TZ', 'US']"
392,NP,,Nile Air,"['AE', 'EG', 'IQ', 'KW', 'SA', 'SE', 'TR', 'UZ']"
393,NR,PIR,Manta Air,['MV']
394,NS,,Hebei Airlines,"['CN', 'SG']"
395,NT,IBB,Binter Canarias,"['CV', 'ES', 'FR', 'IT', 'MA', 'MR', 'PT', 'SN']"
396,NU,JTA,Japan Transocean Air,['JP']
397,NX,AMU,Air Macau,"['CN', 'JP', 'KR', 'MO', 'SG', 'TH', 'TW', 'VN']"
398,NZ,EAG,Air New Zealand,"['AU', 'CA', 'CK', 'CN', 'FJ', 'HK', 'ID', 'JP', 'KR', 'NC', 'NU', 'NZ', 'PF', 'SG', 'TO', 'TW', 'US', 'WS']"
399,O4,ABV,Andes Lineas Aereas,['AR']
400,OA,OAL,Olympic Air,['GR']
401,OB,AAN,BoA,"['AR', 'BO', 'BR', 'ES', 'PE', 'US']"
402,OD,MXD,Batik Air Malaysia,"['AE', 'AU', 'BD', 'CN', 'HK', 'ID', 'IN', 'JP', 'KR', 'LK', 'MV', 'MY', 'NP', 'NZ', 'PK', 'SA', 'SG', 'TH', 'TW', 'VN']"
403,OE,AOT,FLYONE AIRLINES,"['FR', 'MD']"
404,OF,TML,Overland Airways,['NG']
405,OG,,Fly Play hf.,"['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'IE', 'IS', 'IT', 'NL', 'PL', 'PT', 'SE', 'US']"
406,OI,,Hinterland Aviation,['AU']
407,OJ,OLA,NyxAir OU,['EE']
408,OK,CSA,CSA,"['CZ', 'ES', 'FR']"
409,OM,MGL,Miat Mongolian Airlines,"['CN', 'DE', 'HK', 'JP', 'KG', 'KR', 'MN', 'TR']"
410,ON,RON,Nauru Airlines,"['AU', 'FJ', 'FM', 'KI', 'MH', 'NR']"
411,OP,CHK,Passion Air,['GH']
412,OQ,,Chongqing Airlines,"['CN', 'SG', 'TH']"
413,OR,TFL,TUIfly Netherlands,"['AW', 'BG', 'BQ', 'CU', 'CV', 'CW', 'CY', 'DO', 'EG', 'ES', 'FI', 'GM', 'GR', 'JM', 'MK', 'MX', 'NL', 'PT', 'SE', 'SN', 'TR']"
