,IATACode,Country,State,Name
201,LZH,CN,,Liuzhou
202,MAD,ES,,Madrid
203,MAN,GB,,Manchester
204,MAO,BR,AM,Manaus
205,MCN,US,GA,Macon
206,MDE,CO,,Medellin
207,MEL,AU,VI,Melbourne
208,MES,ID,,Medan
209,MEX,MX,,Mexico City
210,MFM,MO,,Macau
211,MHG,DE,,Mannheim
212,MIL,IT,,Milan
213,MJV,ES,,Murcia
214,MKC,US,MO,Kansas City
215,MKE,US,WI,Milwaukee
216,MLW,LR,,Monrovia
217,MMA,SE,,Malmo
218,MME,GB,,Durham
219,MNL,PH,,Manila
220,MOB,US,AL,Mobile
221,MOH,ID,,Morowali
222,MOW,RU,,Moscow
223,MPL,FR,,Montpellier
224,MRE,KE,,Maasai Mara
225,MRS,FR,,Marseille
226,MSP,US,MN,Minneapolis/Saint Paul
227,MST,NL,,Maastricht
228,MSY,US,LA,New Orleans
229,MTS,SZ,,Manzini
230,MTY,MX,,Monterrey
231,MUC,DE,,Munich
232,MVD,UY,,Montevideo
233,NAP,IT,,Naples
234,NBO,KE,,Nairobi
235,NGB,CN,,Ningbo
236,NGO,JP,,Nagoya
237,NHA,VN,,Nha Trang
238,NKG,CN,,Nanjing
239,NLP,ZA,,Nelspruit
240,NNG,CN,,Nanning
241,NOU,NC,,Noumea
242,NQT,GB,,Nottingham
243,NRK,SE,,Norrkoping
244,NTE,FR,,Nantes
245,NTL,AU,NS,Newcastle
246,NUE,DE,,Nuremberg
247,NYC,US,NY,New York
248,ODB,ES,,Cordoba
249,OHD,MK,,Ohrid
250,OKA,JP,,Okinawa
251,OKC,US,OK,Oklahoma City
252,OMA,US,NE,Omaha
253,OOL,AU,QL,Gold Coast
254,OPO,PT,,Porto
255,ORL,US,FL,Orlando
256,ORN,DZ,,Oran
257,OSA,JP,,Osaka
258,OSL,NO,,Oslo
259,OSR,CZ,,Ostrava
260,OVI,ES,,Oviedo
261,OXF,GB,,Oxford
262,PAR,FR,,Paris
263,PBI,US,FL,West Palm Beach
264,PBM,SR,,Paramaribo
265,PDP,UY,,Punta del Este
266,PEG,IT,,Perugia
267,PGF,FR,,Perpignan
268,PHL,US,PA,Philadelphia
269,PHX,US,AZ,Phoenix
270,PIP,US,AK,Pilot Point
271,PIS,FR,,Poitiers
272,PLQ,LT,,Klaipeda/Palanga
273,PNA,ES,,Pamplona
274,POZ,PL,,Poznan
275,PRG,CZ,,Prague
276,PSA,IT,,Pisa
277,PSR,IT,,Pescara
278,PTY,PA,,Panama City
279,PUS,KR,,Busan
280,PVD,US,RI,Providence
281,QBX,BR,CE,Sobral
282,QCN,BR,RS,Canela
283,QIJ,ES,,Gijon
284,QRV,FR,,Arras
285,QSR,IT,,Salerno
286,RBA,MA,,Rabat
287,REG,IT,,Reggio di Calabria
288,REK,IS,,Reykjavik
289,RGS,ES,,Burgos
290,RHE,FR,,Reims
291,RIO,BR,RJ,Rio de Janeiro
292,RJL,ES,,Logrono
293,RKZ,CN,,Xigaze/Rikaze
294,RLG,DE,,Rostock
295,RNB,SE,,Ronneby/Karlskrona
296,RNS,FR,,Rennes
297,ROC,US,NY,Rochester
298,ROM,IT,,Rome
299,RTM,NL,,Rotterdam
300,RTW,RU,,Saratov
301,RUH,SA,,Riyadh
302,RYL,ZM,,Lower Zambezi National Park
303,SAC,US,CA,Sacramento
304,SAL,SV,,San Salvador
305,SAN,US,CA,San Diego
306,SAO,BR,SP,Sao Paulo
307,SAV,US,GA,Savannah
308,SBY,US,MD,Salisbury/Ocean City
309,SCQ,ES,,Santiago de Compostela
310,SDL,SE,,Sundsvall/Harnosand
311,SDQ,DO,,Santo Domingo
312,SDR,ES,,Santander
313,SDZ,GB,,Shetland Islands
314,SEA,US,WA,Seattle
315,SEL,KR,,Seoul
316,SFQ,TR,,Sanliurfa
317,SHA,CN,,Shanghai
318,SHE,CN,,Shenyang
319,SHS,CN,,Jingzhou
320,SIA,CN,,Xi'an
321,SIN,SG,,Singapore
322,SJC,US,CA,San Jose
323,SJO,CR,,San Jose
324,SJU,PR,,San Juan
325,SJW,CN,,Shijiazhuang
326,SLM,ES,,Salamanca
327,SLU,LC,,Saint Lucia
328,SPK,JP,,Sapporo
329,SQS,BZ,,San Ignacio
330,SRI,ID,,Samarinda
331,SRZ,BO,,Santa Cruz
332,SSI,US,GA,Brunswick
333,SSM,US,MI,Sault Sainte Marie
334,STL,US,MO,Saint Louis
335,STO,SE,,Stockholm
336,STR,DE,,Stuttgart
337,STT,VI,,Saint Thomas Island
338,STX,VI,,Saint Croix Island
339,SUF,IT,,Lamezia Terme
340,SUN,US,ID,Hailey/Sun Valley
341,SVG,NO,,Stavanger
342,SVQ,ES,,Sevilla
343,SWA,CN,,Shantou
344,SWQ,ID,,Sumbawa
345,SXB,FR,,Strasbourg
346,SYD,AU,NS,Sydney
347,SYR,US,NY,Syracuse
348,SZG,AT,,Salzburg
349,SZX,CN,,Shenzhen
350,SZZ,PL,,Szczecin
351,TCI,ES,,Tenerife
352,TGM,RO,,Targu Mures
353,TGU,HN,,Tegucigalpa
354,THR,IR,,Tehran
355,TIA,AL,,Tirana
356,TIP,LY,,Tripoli
357,TKU,FI,,Turku
358,TLL,EE,,Tallinn
359,TLN,FR,,Toulon/Hyeres
360,TLS,FR,,Toulouse
361,TLV,IL,,Tel Aviv-Yafo
362,TMP,FI,,Tampere
363,TOL,US,OH,Toledo
364,TOV,VG,,Tortola
365,TOX,RU,,Tobolsk
366,TPA,US,FL,Tampa
367,TPE,TW,,Taipei
368,TRD,NO,,Trondheim
369,TRN,IT,,Turin
370,TRS,IT,,Trieste
371,TSN,CN,,Tianjin
372,TUF,FR,,Tours
373,TVS,CN,,Tangshan
374,TWB,AU,QL,Toowoomba
375,TYN,CN,,Taiyuan
376,TYO,JP,,Tokyo
377,UBS,US,MS,Columbus
378,ULN,MN,,Ulaanbaatar
